Price,Close,High,Low,Open,Volume
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV
Date,,,,,
2022-03-25,144.12229919433594,144.70296375616812,143.13962140987465,143.42549626763193,5129400
2022-03-28,144.69407653808594,144.74767468138305,142.51432783555381,143.47913530870414,4516500
2022-03-29,144.8816375732422,145.86431541770668,144.0865668195443,145.60525323940112,6154100
2022-03-30,146.2841796875,146.82018824115053,144.47070361912705,144.47070361912705,5151800
2022-03-31,144.81912231445312,147.09713849152027,144.81019383562705,145.55165288488828,8670100
2022-04-01,145.3282928466797,145.67670792901612,143.0234916357405,144.85482455756102,5703300
2022-04-04,144.62258911132812,146.36459669967337,144.2384600465011,145.16752621653004,6892400
2022-04-05,145.99832153320312,148.25848074246633,144.57791642410854,144.62258608056908,6683300
2022-04-06,150.89381408691406,151.21541650235318,146.32885366204272,146.94525942757303,8810800
2022-04-07,154.79771423339844,155.9679856389282,149.6699456721771,149.78608405421963,7469000
2022-04-08,156.29852294921875,157.14719186850698,154.1009040587976,154.54757334592455,7204200
2022-04-11,151.71568298339844,156.36996905430814,151.26008524396389,156.2449022063498,8163200
2022-04-12,149.46446228027344,152.36781240578384,148.48179810885892,151.25113928058752,8279700
2022-04-13,143.20298767089844,148.65362327369047,140.9506600455395,148.65362327369047,18312600
2022-04-14,146.23013305664062,147.63558345398198,141.28402983115998,142.21198781779225,11074800
2022-04-18,143.57235717773438,146.66254374700006,143.0227887466814,145.91478315369153,6500200
2022-04-19,140.860595703125,144.5994546068854,138.4821379342423,144.50935598990273,9359900
2022-04-20,141.17588806152344,142.43719973758732,140.1127960567129,140.8695748140814,6250000
2022-04-21,142.81561279296875,144.4913453175912,139.95966263621517,141.4461935665705,7903300
2022-04-22,139.63531494140625,142.63541712835203,139.0497014831539,141.69844109399526,7938300
2022-04-25,140.8155517578125,141.12186507182983,137.6983237028802,139.50018613420954,6932600
2022-04-26,140.70742797851562,143.86970528330355,140.38310594430055,140.9416788882742,6787800
2022-04-27,142.0047607421875,143.698515670802,139.24791367556557,141.04977594103016,6039100
2022-04-28,140.8245391845703,142.74352684222487,139.0497038033941,142.6714507039857,7465000
2022-04-29,132.3287811279297,135.0135522967917,126.06729819215198,134.74327018313403,25155900
2022-05-02,133.22067260742188,134.14863050756253,129.22955457535716,132.12153560484646,9690800
2022-05-03,134.77931213378906,135.80637314515988,133.29276741527931,133.38286603353532,6163400
2022-05-04,136.57215881347656,137.27488405744984,132.96843397376986,133.49998008831795,5791500
2022-05-05,137.10369873046875,138.1307734605924,135.17570657826226,137.63525856810784,6869300
2022-05-06,137.68931579589844,138.31096051824653,134.24775204201956,134.8513742913248,6145600
2022-05-09,136.00454711914062,138.32893695571192,134.17564457796172,136.59915111957366,6969000
2022-05-10,137.02259826660156,139.2208721988039,135.59912557694403,136.28384196396115,6525200
2022-05-11,136.90550231933594,139.42809851799362,135.98654870575737,136.0586248467359,5630000
2022-05-12,139.00465393066406,139.05872134446085,135.27479971151192,138.18481707416828,6914800
2022-05-13,138.2929229736328,139.0947510976669,136.85142772392055,138.22084683643544,6398500
2022-05-16,140.06777954101562,141.3471002389947,138.08573358283846,138.68033774730787,6565600
2022-05-17,139.4461212158203,140.35605672130112,137.70733070842152,139.98668540047558,6032200
2022-05-18,137.3289337158203,140.2749825353489,136.716307109597,139.4551318589746,6498100
2022-05-19,136.6892852783203,137.3019119069731,134.49101091034157,136.2207971965086,5994800
2022-05-20,136.0496063232422,138.31095227981936,133.1666294284631,137.23884202509257,6746400
2022-05-23,133.36485290527344,136.94155109617336,132.60807394852444,136.62621965730125,6886400
2022-05-24,134.33782958984375,136.35592009342662,132.08550196191874,132.4638913537561,6367200
2022-05-25,136.90550231933594,137.8334602953675,134.95046964469887,135.46400699400164,5042600
2022-05-26,135.65322875976562,137.90555694866694,135.49105398166216,136.60821371232052,6659300
