Price,Close,High,Low,Open,Volume
Ticker,ADI,ADI,ADI,ADI,ADI
Date,,,,,
2022-03-25,156.9364471435547,157.2112193145352,154.31183435434383,156.3963582606739,2236300
2022-03-28,158.4809112548828,158.66094091555271,154.7761489357085,155.56257146722783,2745200
2022-03-29,161.24761962890625,162.55519109445288,158.92621762511854,160.17694067179596,3127700
2022-03-30,157.74183654785156,161.07708374177267,157.07858085931633,159.92111763122995,2689100
2022-03-31,156.51007080078125,159.12521393543858,156.41532824792074,158.19665595322184,3881500
2022-04-01,156.6806640625,158.36723511802293,154.30241294570808,157.76082770994606,2941000
2022-04-04,155.86575317382812,157.23964293940577,153.23167047743038,156.500584597705,4159600
2022-04-05,151.58302307128906,154.9277405403099,147.68874669936707,153.9802281817682,7223600
2022-04-06,151.8673095703125,155.65735975067048,149.01530201443498,149.15742311304078,6036000
2022-04-07,152.78634643554688,154.3592202005287,150.7870950604623,150.91027627636123,3161800
2022-04-08,150.40811157226562,152.55895413886034,150.08594639398947,152.03783392678002,3025000
2022-04-11,146.76019287109375,149.79222961434084,146.57069328549548,149.394276147217,3693700
2022-04-12,147.33816528320312,151.1850629766918,146.8549392064075,149.07211455813882,2580000
2022-04-13,149.82066345214844,150.61658489540915,147.0634132201307,148.49415180986816,2335200
2022-04-14,148.2856903076172,151.46933254365553,148.08670634253713,150.05753386559817,5228700
2022-04-18,151.92413330078125,152.7863730464724,147.97300836531716,148.07723530664126,2728500
2022-04-19,153.8002166748047,154.25501856962615,150.28493937865454,151.9241317501195,2674700
2022-04-20,152.90956115722656,156.87015618979126,152.11363972502346,155.82790118759166,2582400
2022-04-21,150.37969970703125,156.03633544661872,149.67853532459762,153.97076534971526,3555000
2022-04-22,147.10128784179688,151.2513964344866,147.0254851211666,149.6879924300326,2640400
2022-04-25,150.5786590576172,150.79658284720216,145.6894919224224,146.09692974596743,4487500
2022-04-26,144.7893829345703,149.06267356624735,144.7230645776186,148.69312981135621,3661200
2022-04-27,143.75657653808594,147.55609590007631,141.82364322562302,142.12685412086867,3077300
2022-04-28,152.02835083007812,153.75283021469846,145.66106680021824,146.040080407883,4156000
2022-04-29,146.2769317626953,151.33664322289124,146.14428063872384,149.74481527734562,4835800
2022-05-02,149.84909057617188,150.21861985925446,144.7704231847926,147.18658286243686,2865900
2022-05-03,150.53128051757812,151.32720186952716,148.2951508214927,149.59325255597065,2441900
2022-05-04,156.12161254882812,156.26373361688917,146.16324858714466,150.3512514014041,3940400
2022-05-05,149.93438720703125,154.79511663041092,148.29518012859276,153.51598339600312,3961500
2022-05-06,147.93508911132812,150.43652082046455,146.24851849838936,148.33304251302152,2710400
2022-05-09,144.2587432861328,147.84033851453665,143.81341136205018,146.10638932334274,4123100
2022-05-10,147.07284545898438,150.19015424861973,144.63773215495956,147.75505540248378,3157800
2022-05-11,144.0124053955078,149.05316351339607,143.78499722964492,145.3768110170125,3861700
2022-05-12,144.86517333984375,145.61370179029709,142.0984388079256,143.11226957939215,3117700
2022-05-13,150.40811157226562,151.31771530722347,145.80320109760575,146.9023044058556,4783200
2022-05-16,149.17636108398438,150.8250234789328,147.4139873647036,148.97737710982207,2328400
2022-05-17,155.2404022216797,155.7520669286535,152.18941164654962,152.54000100736926,4952200
2022-05-18,151.52615356445312,157.5997104077154,150.88185219006039,157.5997104077154,5684400
2022-05-19,152.4926300048828,155.55309064813582,150.73025657018337,152.40735736882237,3812600
2022-05-20,153.91392517089844,156.4911601995612,148.49415278337761,155.0130430862178,3977400
2022-05-23,153.07061767578125,154.91826380202545,151.48827384161876,153.1369360198564,2291100
2022-05-24,153.35487365722656,154.68138511240028,150.47442812900573,151.4882732438025,3172000
2022-05-25,153.8002166748047,154.6719263306673,150.9766193688047,152.0473129862157,2500300
2022-05-26,155.3920135498047,157.1828111764228,152.93796022034465,153.83809399262225,3820100
2022-05-27,159.49481201171875,160.07548602486693,156.27730539540232,157.53385159770423,4942300
2022-05-31,160.30392456054688,161.4367159412361,155.72517447909973,158.8760391950128,5102500
2022-06-01,156.84848022460938,161.17020765493922,155.46819369329367,161.04645291947656,3283600
2022-06-02,161.10357666015625,161.26540195059488,155.81086854101792,156.60096697683244,2637700
2022-06-03,157.29588317871094,158.95222118125156,156.88654841961176,158.58097150566104,2539100
2022-06-06,157.32443237304688,160.71327838670018,156.6485601618012,159.30443539202244,2273800
2022-06-07,158.9236602783203,159.2949099437423,155.01125325416388,155.8679933072014,2108000
2022-06-08,157.0769500732422,159.8851370654556,156.04887056689108,157.88609116001643,2928800
2022-06-09,153.8403778076172,158.99980211847713,153.74517963491868,156.10596068598517,3144800
2022-06-10,149.37588500976562,152.47915145297137,149.27117280791364,150.73714363384138,3369800
2022-06-13,140.665771484375,147.00557238945376,140.24692272558835,145.86326683607402,5861600
2022-06-14,140.09458923339844,142.92180338175666,139.02843948930675,142.03652143893788,2765000
2022-06-15,142.86471557617188,145.13981271678702,139.67576526088632,141.998461493187,3263200
2022-06-16,136.56298828125,139.32356136062523,134.87807916786934,139.32356136062523,4722800
2022-06-17,137.67672729492188,138.50489625332014,134.97325298869268,137.09605326570397,6723900
2022-06-21,141.21788024902344,143.06459994142648,140.20882897198376,140.2469140523563,3085600
2022-06-22,140.551513671875,141.81757380237633,138.84757681966732,139.88517005719046,3720400
2022-06-23,138.54296875,142.03654150722184,137.01989954684674,141.85567368039423,2946000
