Price,Close,High,Low,Open,Volume
Ticker,AMCR,AMCR,AMCR,AMCR,AMCR
Date,,,,,
2022-03-25,9.84292221069336,9.92971996868805,9.756123624926007,9.756123624926007,7171700
2022-03-28,9.851603507995605,9.868962730728896,9.704046389785177,9.842923482742576,8092900
2022-03-29,10.042557716369629,10.077276984836102,9.88632142215683,9.964439155376901,7160300
2022-03-30,10.007838249206543,10.051237540871144,9.947079737539685,10.042557516983697,4792600
2022-03-31,9.834242820739746,10.059918496069805,9.825562796048732,10.016519200387453,7659100
2022-04-01,10.01651668548584,10.01651668548584,9.842920374114922,9.9383981384258,7980900
2022-04-04,9.964439392089844,9.999159489153774,9.834242339190803,9.947080171330553,5653000
2022-04-05,9.964439392089844,10.085957248495577,9.921040926305281,9.973119416355827,4940800
2022-04-06,9.981799125671387,10.016518393867164,9.851602076880384,9.886321345076162,6261300
2022-04-07,10.007838249206543,10.059917564758592,9.860281154210483,9.964438957541942,6043500
2022-04-08,10.17275333404541,10.23351183342092,9.990477008146414,10.059915529653415,5900800
2022-04-11,10.181435585021973,10.302953448026921,10.164076363319962,10.207475659234067,4770100
2022-04-12,10.120674133300781,10.268231199966538,10.059915633299287,10.19879267774412,3042300
2022-04-13,10.1553955078125,10.190114776149002,10.068597750857569,10.146715483785211,4212000
2022-04-14,10.129356384277344,10.242194214659525,10.129356384277344,10.181434873516713,3345200
2022-04-18,10.007838249206543,10.1727553919775,9.990479029204286,10.085956808648298,3211300
2022-04-19,10.207473754882812,10.242193019582174,9.973118097332705,9.973118097332705,4107400
2022-04-20,10.424468994140625,10.467868280409018,10.242192654031406,10.276911917491612,6940900
2022-04-21,10.355031967163086,10.519948285544325,10.328991894966583,10.485229017054978,5609800
2022-04-22,10.051237106323242,10.320312040792667,10.04255708281106,10.320312040792667,4744100
2022-04-25,10.1119966506958,10.120676675096702,9.851602540850307,10.033878914405765,8122100
2022-04-26,10.077276229858398,10.16407480840806,9.973118432262359,10.085956253267883,20103900
2022-04-27,10.433150291442871,10.485228779108724,10.042557495085793,10.068597566691356,28136300
2022-04-28,10.537309646606445,10.589388141943033,10.24219541378992,10.44183102553477,14580100
2022-04-29,10.294272422790527,10.658825148601819,10.250873958867032,10.580706589103308,17666700
2022-05-02,10.1553955078125,10.372391141858804,9.999159214184564,10.294272581158511,12552400
2022-05-03,10.389752388000488,10.467870957708971,10.129357431563129,10.198795976243392,11365700
2022-05-04,11.387929916381836,11.44000922884437,10.736943063349372,10.997337970116876,28923700
2022-05-05,10.971298217773438,11.179613802394899,10.849780379524642,11.179613802394899,22552500
2022-05-06,11.118855476379395,11.21433324726008,10.841100531301153,10.962618371508668,16675400
2022-05-09,10.945260047912598,11.118857226322834,10.91922080226014,11.014698588167615,17452900
2022-05-10,10.901860237121582,11.092815785395885,10.762982345959461,11.04941649614351,15696500
2022-05-11,10.858460426330566,11.110175298577209,10.797701093186513,10.832420357366306,19237200
2022-05-12,10.910541534423828,10.988660104571366,10.780344469359765,10.8497830144303,13227600
2022-05-13,11.084137916564941,11.170935677687028,10.945260008778758,10.997339327670163,12762600
2022-05-16,11.23169231414795,11.292451647318119,11.023376728979645,11.032056751971462,11587800
2022-05-17,11.570206642150879,11.60492590899008,11.318491750623519,11.42264955114112,13540800
2022-05-18,11.049417495727539,11.466049551359275,10.997339006131488,11.466049551359275,12942100
2022-05-19,11.249052047729492,11.344529814670274,10.945257873633095,10.953937896383856,14060800
2022-05-20,11.223015785217285,11.387932122378768,11.006020125504795,11.35321284993568,16514000
2022-05-23,11.32717227935791,11.49208859725462,11.249053718543228,11.353211523705253,12764400
2022-05-24,11.3534517288208,11.370972053173464,11.116921084148236,11.292129340404157,10182600
2022-05-25,11.362213134765625,11.42353552764045,11.239567513561031,11.335931393143605,10125900
2022-05-26,11.476099014282227,11.598743808996675,11.423536362651031,11.441057525013099,10079000
2022-05-27,11.660065650939941,11.660065650939941,11.493617970175011,11.554940360217403,8531400
2022-05-31,11.476099014282227,11.616264971358742,11.397255454562936,11.537421411639452,35769100
2022-06-01,11.554941177368164,11.66006647552503,11.414775227098962,11.432296388610094,11507000
2022-06-02,11.78271198272705,11.791472564016788,11.51990039222003,11.633785442621573,6687600
2022-06-03,11.730148315429688,11.82651218805004,11.668825091530477,11.69510683125366,7248200
2022-06-06,11.81775188446045,11.922876339446509,11.721388009586953,11.782710399465095,5215700
2022-06-07,11.808991432189941,11.835273172812155,11.598742519941702,11.738908461440529,9730900
2022-06-08,11.695108413696289,11.747670229344926,11.642545762592656,11.668826670416975,5865500
2022-06-09,11.537419319152832,11.703866154129775,11.51113841583118,11.65130434748647,9944000
2022-06-10,11.178245544433594,11.353452984614142,11.073121080325265,11.327172077450804,8489200
2022-06-13,10.766505241394043,11.01179560770652,10.731463760492261,10.976754126804737,9367200
2022-06-14,10.591300010681152,10.845351008225105,10.512456453606308,10.775268032037461,12299500
2022-06-15,10.600061416625977,10.722706216772943,10.346010399307918,10.705185889089824,12427200
2022-06-16,10.258405685424805,10.468654618688586,10.188322707670212,10.389811059850919,10772200
2022-06-17,10.26716423034668,10.354767517439134,10.15327920521714,10.258403651000984,16924800
2022-06-21,10.442374229431152,10.477415720048503,10.328489176061002,10.37229124819645,8873400
2022-06-22,10.389810562133789,10.521216765719968,10.284686100537817,10.328488168399877,7577600
2022-06-23,10.459892272949219,10.468652852554321,10.293445437726541,10.389809307018107,9544000
2022-06-24,10.87163257598877,10.880393157408259,10.503696510920468,10.54749858256289,12990300
2022-06-27,10.836588859558105,10.932952729010962,10.792786796914132,10.845349439177872,13851300
2022-06-28,10.801548957824707,10.985516979497476,10.757746888768338,10.880392515035176,8955100
2022-06-29,10.994277954101562,11.064360932919412,10.810309925840954,10.924194975283713,10591500
2022-06-30,10.889152526855469,10.99427698582382,10.792787812876613,10.86287078552218,8977600
2022-07-01,10.976757049560547,10.99427821240416,10.661383637470752,10.827830507209942,9955600
2022-07-05,10.897912979125977,10.897912979125977,10.608820489337003,10.819070256373974,7284300
2022-07-06,11.081880569458008,11.090641150128176,10.792788090982055,10.924194294669734,11505700
2022-07-07,11.0906400680542,11.195764519474752,11.020557100440497,11.12568155186105,7995600
2022-07-08,10.897912979125977,11.125683072733953,10.86287149052898,11.108162746162948,6676400
2022-07-11,11.038078308105469,11.16072308423572,10.705183792764302,10.731464696870086,9814500
2022-07-12,10.915432929992676,11.055598868828072,10.880391445283827,10.985515899410373,9441000
2022-07-13,10.845351219177246,10.889153289010258,10.71394500967821,10.72270559073581,6523700
2022-07-14,10.854111671447754,10.862871416946426,10.617580998428986,10.643861905834965,8997900
2022-07-15,10.932954788208008,11.029319511265795,10.836590900605234,11.020558929995994,6667200
2022-07-18,10.801548957824707,11.003038141302014,10.740226562418778,10.994277560399745,5659600
2022-07-19,11.064360618591309,11.11692243348396,10.976756479830243,10.985517060797347,6268400
2022-07-20,10.932954788208008,11.029319511265795,10.792788829711242,11.020558929995994,12355600
2022-07-21,11.0731201171875,11.081879861843374,10.845350047036696,10.845350047036696,8754000
2022-07-22,11.038078308105469,11.169483664089274,11.011796568544804,11.108161276024148,7127500
2022-07-25,11.160723686218262,11.169484266544341,11.003037417623455,11.038078903472847,5566800
2022-07-26,11.300889015197754,11.30964959504753,11.073119787287746,11.15196249957109,8552200
2022-07-27,11.283369064331055,11.353452034538615,11.038078668604593,11.292129644470727,9530400
2022-07-28,11.42353630065918,11.432296881792672,11.125683225760435,11.35345332250124,10172100
2022-07-29,11.344691276550293,11.441055985666177,11.283368887443743,11.441055985666177,33154900
2022-08-01,11.42353630065918,11.581223419242043,11.300890671155285,11.327172414555761,7973100
2022-08-02,11.16948413848877,11.476097762746898,11.125682072815477,11.379733051174673,7324000
2022-08-03,11.143202781677246,11.230806074018705,11.02931774972396,11.230806074018705,6620600
2022-08-04,11.029317855834961,11.222046437568181,11.020557275880067,11.125681728974127,7925700
2022-08-05,10.748988151550293,10.932955355023763,10.652623423496506,10.906674445306846,6968900
2022-08-08,10.854111671447754,10.889153159807389,10.775268113774832,10.854111671447754,5410700
2022-08-09,10.862871170043945,10.932954145170296,10.792788194917595,10.87163175079848,8081600
2022-08-10,11.134443283081055,11.213286838663342,11.011797659346946,11.02931882078966,6376800
2022-08-11,11.064360618591309,11.222047734179233,11.046839456657102,11.195765991277922,6467300
2022-08-12,11.222046852111816,11.239567177213917,11.108161814855936,11.116921559679529,5061500
2022-08-15,11.414774894714355,11.44981638126129,11.12568242183841,11.13444300233888,12175800
2022-08-16,11.642544746398926,11.712627718116737,11.35345227919923,11.37097260440122,12308700
2022-08-17,11.397254943847656,11.554941220765253,11.344692294571812,11.554941220765253,8882400
2022-08-18,11.143202781677246,11.274608137916873,10.827828589974335,11.143202781677246,11042800
2022-08-19,10.932954788208008,11.10816307178398,10.871632390229426,11.10816307178398,9180700
2022-08-22,10.932954788208008,11.046839838350385,10.748987594272261,10.819070573520644,11169300
2022-08-23,11.02055835723877,11.143203982276846,10.94171480081822,11.02055835723877,7704700
2022-08-24,11.09940242767334,11.134443917099139,10.95047588874994,11.06436093824754,9409500
2022-08-25,11.318411827087402,11.370973642948938,11.108162892731258,11.169485289721385,12687500
2022-08-26,10.880393028259277,11.353453558381203,10.871632446943774,11.318412068574208,14397700
2022-08-29,10.740226745605469,10.836590630809093,10.705185256853696,10.836590630809093,8692000
2022-08-30,10.670143127441406,10.8103090740326,10.626341060267922,10.766507006859117,5937400
2022-08-31,10.521215438842773,10.731464335519293,10.477413376504787,10.731464335519293,10545700
2022-09-01,10.512456893920898,10.547498383482434,10.381051516928892,10.477415404359363,6935200
2022-09-02,10.529977798461914,10.757747057304416,10.503696055343363,10.661383172234704,8082300
2022-09-06,10.381051063537598,10.538737341950071,10.302207506603873,10.529977596533527,9673400
2022-09-07,10.708501815795898,10.708501815795898,10.416451843001635,10.425301202781851,8538500
2022-09-08,10.779300689697266,10.788150048600409,10.549200478179499,10.584600445797477,6813000
2022-09-09,10.876648902893066,10.89434930628345,10.708499290692858,10.841248940113987,8796400
2022-09-12,10.947449684143066,11.035950020009114,10.912049718596998,10.92975012337091,8663600
2022-09-13,10.566900253295898,10.779300907293196,10.53150028496332,10.761600501125995,5242800
2022-09-14,10.389901161193848,10.584601423070247,10.327951423143036,10.566901015626083,4960100
2022-09-15,10.434152603149414,10.55805293830203,10.381052218369154,10.416453037557316,6412200
2022-09-16,10.319099426269531,10.34564918882034,10.186349769513752,10.336799830637894,11978200
2022-09-19,10.407600402832031,10.416450605562758,10.221750365495682,10.266000535147533,6490900
2022-09-20,10.124401092529297,10.292551589483217,10.018201178454033,10.257151618124796,5382100
2022-09-21,9.929702758789062,10.23060297026782,9.929702758789062,10.204052355841823,6664100
2022-09-22,9.86775016784668,9.947400306966815,9.805800434754048,9.903150135899871,5584400
2022-09-23,9.717299461364746,9.788100236873582,9.593400003228242,9.788100236873582,7568400
2022-09-26,9.558000564575195,9.761550167882866,9.460650020383,9.717299997250215,7375300
2022-09-27,9.442951202392578,9.699601199477208,9.345601494533536,9.655351025358781,7401600
2022-09-28,9.646500587463379,9.690750760507163,9.478350942699223,9.496050505515626,6586500
2022-09-29,9.513751029968262,9.558001203559185,9.407551119751165,9.558001203559185,5596200
2022-09-30,9.496048927307129,9.646498984250634,9.487199569370583,9.549149294934953,9823400
2022-10-03,9.761549949645996,9.841200086203688,9.619950081988671,9.619950081988671,10990500
2022-10-04,9.982800483703613,10.018200452496817,9.77040067094439,9.83235040533204,8022700
2022-10-05,9.814651489257812,9.912001198849408,9.761551110570286,9.8500514603822,7767800
2022-10-06,9.79694938659668,9.867749316595436,9.690749491598545,9.78810002834814,8388700
2022-10-07,9.540300369262695,9.690750446332855,9.496050197653503,9.690750446332855,5112900
2022-10-10,9.637650489807129,9.681899815459541,9.55800035322993,9.611099881613539,4984800
2022-10-11,9.540300369262695,9.664200680968069,9.460650229166514,9.566850978629304,5487700
2022-10-12,9.372151374816895,9.531451665970186,9.354450967354582,9.531451665970186,9806700
2022-10-13,9.788101196289062,9.876600697346623,9.22170084471295,9.292500783159733,12189100
2022-10-14,9.593400955200195,9.92970108523141,9.593400955200195,9.858901146698717,7450400
2022-10-17,9.726150512695312,9.805800653593023,9.699600747063354,9.7704006847498,7252400
2022-10-18,9.91200065612793,9.947400625314028,9.796950545272649,9.876600686941831,6356600
2022-10-19,9.788101196289062,9.89430110395924,9.726150617146747,9.858901134735847,5020200
2022-10-20,9.637650489807129,9.867749852805742,9.59340032015293,9.78810056023033,6445900
2022-10-21,10.00050163269043,10.009351836546363,9.628801510760207,9.673051686037974,8944000
2022-10-24,10.00050163269043,10.053601167822237,9.876601310713058,10.044751807968199,7319400
2022-10-25,10.150951385498047,10.168650948620874,9.858901419955547,9.929701360450586,7176100
2022-10-26,10.159799575805664,10.310249643043358,10.10670004854634,10.204049744522944,6557000
2022-10-27,10.212898254394531,10.363348296696836,10.204048053317543,10.204048053317543,6644900
2022-10-28,10.398751258850098,10.407601462481908,10.204050998959614,10.257151376748608,7393900
2022-10-31,10.248300552368164,10.319100489130493,10.195201021797327,10.319100489130493,16746900
2022-11-01,10.257149696350098,10.345649186163984,10.080149872720595,10.31909942361999,10513600
2022-11-02,9.593400955200195,10.000501023764102,9.584550751883148,10.000501023764102,14442500
2022-11-03,9.531451225280762,9.655350695780898,9.478350849350814,9.531451225280762,9848600
2022-11-04,9.876599311828613,9.88544951389339,9.673049728349095,9.74384965686386,8453200
2022-11-07,9.929702758789062,9.938552119595744,9.823502833091029,9.920852553980398,5968900
2022-11-08,9.929702758789062,10.035902684487098,9.841202398706375,10.00050270925442,8942200
2022-11-09,9.752700805664062,9.912000238285282,9.74385060274016,9.850050505821574,6245800
2022-11-10,10.283700942993164,10.301401349911426,10.027050950691338,10.097850890360679,7916300
2022-11-11,10.301400184631348,10.389899677206156,10.19520028714052,10.381049474748147,7253500
2022-11-14,10.434152603149414,10.620002683877347,10.319102472793839,10.32795267759088,8852900
2022-11-15,10.416449546813965,10.619999124920797,10.319099014674435,10.57574895976662,8096700
2022-11-16,10.345649719238281,10.496099788075947,10.327950157964203,10.434150057614007,8306000
2022-11-17,10.434152603149414,10.443002807946455,10.204052342438262,10.221752752032343,7775000
2022-11-18,10.460700988769531,10.61115107439497,10.407601455020476,10.566900900269511,5920700
2022-11-21,10.611149787902832,10.619999990455304,10.398749990654151,10.451850361967207,7760400
2022-11-22,10.7211332321167,10.73901710004672,10.658541399861145,10.667483333826155,6032300
2022-11-23,10.801610946655273,10.801610946655273,10.676426406049199,10.703252212946875,4901400
2022-11-25,10.801610946655273,10.891028597481029,10.783727928140072,10.846319772068151,3198600
2022-11-28,10.7211332321167,10.74795903401173,10.685366349006417,10.73007516608171,9843000
2022-11-29,10.8284330368042,10.89996679744496,10.721132395843057,10.730074329110575,4940500
2022-11-30,11.043036460876465,11.078803345373036,10.63171686279099,10.810551285273851,12408400
2022-12-01,11.069862365722656,11.15033807596759,10.944677832813886,11.123512270719369,6252800
2022-12-02,11.177162170410156,11.203987120849197,10.926793976562912,10.953618927001953,9330800
2022-12-05,10.971503257751465,11.078803916775339,10.899968632319048,11.069861982002557,6066400
2022-12-06,10.864200592041016,10.980443173491011,10.792666826956363,10.980443173491011,6235600
2022-12-07,10.846317291259766,11.007268684832782,10.82843342408511,10.8642003056847,5975300
2022-12-08,11.114570617675781,11.13245363417314,10.882085433961366,10.882085433961366,9902500
2022-12-09,11.060918807983398,11.23081213863235,11.043035793191253,11.078802675525285,10507500
2022-12-12,11.159278869628906,11.159278869628906,11.00727024090385,11.08774509631717,6570900
2022-12-13,11.230812072753906,11.42752949806229,11.14139444106847,11.409646483375044,9025400
2022-12-14,11.159278869628906,11.347055237759673,11.034095192708289,11.221871560839057,8962100
2022-12-15,10.96256160736084,11.087745286427857,10.891027832822584,11.034095381899094,7225100
2022-12-16,10.801610946655273,10.93573657014399,10.676426406049199,10.917853551628788,12047100
2022-12-19,10.747960090637207,10.864201832610961,10.667484382540115,10.819493863890214,5031500
2022-12-20,10.774785041809082,10.828434945370875,10.68536739887297,10.756901172121923,6165500
2022-12-21,10.819494247436523,10.882086088064296,10.756901554058878,10.837377265008799,6229200
2022-12-22,10.712191581726074,10.801609218243733,10.497590277383432,10.78372620259007,6055600
2022-12-23,10.783726692199707,10.783726692199707,10.667484100548943,10.70325098622996,5087700
2022-12-27,10.801610946655273,10.837377836435591,10.756902121242396,10.810552882287832,4512700
2022-12-28,10.6496000289917,10.891027142313833,10.640658094553887,10.855260257312384,4146000
2022-12-29,10.747960090637207,10.80160999420204,10.694309334322531,10.712192351260862,4817700
2022-12-30,10.6496000289917,10.739017667870224,10.5780662589888,10.69430884843096,4811300
2023-01-03,10.65854263305664,10.712192537554488,10.569124988560416,10.649600698057046,9391200
2023-01-04,10.756900787353516,10.837376492567477,10.631717115020521,10.739017771055865,8235000
2023-01-05,10.65854263305664,10.730076407553677,10.595950793559197,10.667484568056233,5731800
2023-01-06,10.908910751342773,10.917852686266585,10.712192446768192,10.747960186463434,5014600
2023-01-09,10.908910751342773,11.060920234048153,10.899968816418964,10.980444525233558,7064900
2023-01-10,10.83737564086914,10.926793273579593,10.739016927087441,10.917851339758599,7256200
2023-01-11,10.891027450561523,10.917852401884383,10.756900988447569,10.891027450561523,5844500
2023-01-12,10.908910751342773,10.971503443059596,10.8463189123758,10.935735703364356,6052300
2023-01-13,10.846317291259766,10.855259224847094,10.739016646460996,10.82843342408511,5775000
2023-01-17,10.864200592041016,11.007268974960065,10.837375643321707,10.935734357125668,7103200
2023-01-18,10.622775077819824,10.908910157815034,10.613833143382523,10.908910157815034,7154600
2023-01-19,10.506532669067383,10.604891391319782,10.4349988978384,10.595950309478523,7434300
2023-01-20,10.622775077819824,10.631717012257125,10.443940652822818,10.569124323945822,6100400
2023-01-23,10.73007583618164,10.810551541392973,10.613833245626363,10.631717114673242,5696600
2023-01-24,10.497591972351074,10.694310292802689,10.354524413022597,10.560184669119721,7808000
2023-01-25,10.533356666564941,10.569123548941658,10.417114085653179,10.434997953216408,7149800
2023-01-26,10.578064918518066,10.62277373229175,10.461822343806366,10.578064918518066,4518600
2023-01-27,10.6853666305542,10.73007544880752,10.587007912596718,10.604890928248178,7328000
2023-01-30,10.533356666564941,10.676424196071807,10.524415585533069,10.595949350286501,6878600
2023-01-31,10.783726692199707,10.819493577880724,10.55124150889818,10.578066459971488,15703200
2023-02-01,10.7926664352417,10.882084064727017,10.58700708127507,10.694307725007622,9653100
2023-02-02,10.908910751342773,10.953619573211975,10.774785138485017,10.864201929473571,12069700
2023-02-03,10.756900787353516,10.899968328733975,10.730075836532134,10.819493476269825,8326300
2023-02-06,10.667484283447266,10.730076121274754,10.622775462391987,10.71219225175271,8701600
2023-02-07,10.631715774536133,10.667482655371632,10.470764384401532,10.622773841139832,7377900
2023-02-08,10.068387985229492,10.32769811598319,9.996854214866389,10.318756181500351,12385800
2023-02-09,10.032622337341309,10.238281739311137,9.943204686984915,10.148864941704655,9051100
2023-02-10,10.130979537963867,10.139921472196793,9.934261248588417,10.023678885418107,5938000
2023-02-13,10.238282203674316,10.26510715889793,10.104156574806293,10.139923466021095,7220500
2023-02-14,10.193571090698242,10.274046791073452,10.11309624307279,10.193571090698242,9565600
2023-02-15,10.29193115234375,10.29193115234375,10.113096727799292,10.148863612708183,7100600
2023-02-16,10.202513694763184,10.29193133499723,10.148863792822608,10.166746809219529,8101200
2023-02-17,10.211454391479492,10.22933740570859,10.13097869557427,10.18462944376099,23398400
2023-02-21,9.907435417175293,10.193570465173227,9.89849348373793,10.193570465173227,6147100
