Price,Close,High,Low,Open,Volume
Ticker,BDX,BDX,BDX,BDX,BDX
Date,,,,,
2022-03-25,247.3405303955078,247.46156296039294,244.6219863869755,246.3536606827403,740870
2022-03-28,249.64015197753906,249.65876117360898,245.3575032350463,247.5919172702011,704995
2022-03-29,251.15765380859375,253.0662173444413,249.7797580698381,251.32522391640117,1432028
2022-03-30,250.99009704589844,253.40140015574534,249.3794552532054,250.42218170941945,922808
2022-03-31,247.64779663085938,251.60456592092396,247.1729854809465,250.73872868478193,1199865
2022-04-01,250.4989471435547,251.64409683658607,246.33829289544906,248.63808617297028,1354600
2022-04-04,246.50051879882812,250.05044810664592,245.20270958552842,249.81187766693336,1058400
2022-04-05,250.9188995361328,254.41157498554205,245.9661738607092,245.9948011544595,1085100
2022-04-06,258.2763977050781,258.58177491107233,249.21071939903433,249.96461027559093,1593500
2022-04-07,261.01513671875,261.92171604041835,256.5395529310008,257.3220709641916,1003300
2022-04-08,262.82830810546875,264.6128104250318,261.48276726287503,261.54002184150715,1397600
2022-04-11,257.6656799316406,263.37226738295726,256.28195944824745,263.00963558055776,1073400
2022-04-12,256.87359619140625,259.0302826158057,254.8123437819787,257.0072096368414,788100
2022-04-13,258.5531311035156,259.03027203651504,255.46126717683825,256.76862867367726,664600
2022-04-14,259.25927734375,261.59727944696823,257.78970431202936,259.7745976797711,921700
2022-04-18,248.2086944580078,259.72688242318077,247.13990353408212,258.61991207415247,1004700
2022-04-19,251.4437255859375,251.81590950134537,247.36895240440734,247.55982043113528,983500
2022-04-20,255.4134979248047,256.94990664600454,251.6154752968311,252.226200457327,1426400
2022-04-21,252.77972412109375,258.9634516480625,252.43616752383446,258.6103720358584,1498000
2022-04-22,243.38003540039062,250.6516729626449,243.29415352900446,250.39402734848642,1153100
2022-04-25,246.64370727539062,247.33079145161946,241.09933141650032,243.0556123471189,924100
2022-04-26,243.32278442382812,248.1132834349738,242.3875922787821,246.10928570583246,1320700
2022-04-27,241.38555908203125,245.15496897816521,240.75572964974603,243.93348953680308,1392700
2022-04-28,241.5859832763672,243.78083432218713,238.91399133194227,242.58798207567463,959700
2022-04-29,235.888916015625,241.34740897340367,235.04914338791,240.34541019009546,1180000
2022-05-02,234.35256958007812,239.32437052430882,232.46309534338693,236.77643939391936,997300
2022-05-03,237.4539794921875,239.2766615123422,234.9633030189148,235.4786088652667,1058000
2022-05-04,241.94859313964844,242.85517246852496,235.05869216847623,236.67141612558706,1308900
2022-05-05,247.769775390625,248.95307566995086,237.45397544985175,239.53430307717414,2461800
2022-05-06,246.1761016845703,247.50253837534518,238.86629887221028,244.2961651860174,2098900
2022-05-09,240.6698760986328,243.8667260733306,240.05913630611212,243.35140572768753,1492100
2022-05-10,238.66590881347656,244.46792994674638,237.6161928998861,241.64326367938952,1818800
2022-05-11,237.6066436767578,244.04804618061112,237.26310162743823,237.6829879722939,969100
2022-05-12,238.30325317382812,238.818558940881,234.8582952801832,237.28216465454773,1168000
2022-05-13,237.08177185058594,239.82055594694265,234.6865152222296,239.55335820881928,1192100
2022-05-16,241.32835388183594,242.7884040528197,236.2992840922328,237.35853760463144,1126300
2022-05-17,244.5442657470703,244.55378876195104,241.0706659828119,242.52117840994143,1000600
2022-05-18,239.62020874023438,244.70651883176987,239.09535074395203,244.10533109165308,899200
