Price,Close,High,Low,Open,Volume
Ticker,DTE,DTE,DTE,DTE,DTE
Date,,,,,
2022-03-25,117.33351135253906,117.33351135253906,115.41785979580985,115.74315235285665,515700
2022-03-28,117.1979751586914,117.414846079953,116.0503889391273,117.24315832411669,823000
2022-03-29,118.00218200683594,118.28229832015757,116.87267184798048,117.46905652096795,899800
2022-03-30,119.78231048583984,119.93592223772322,117.6769015547888,118.19196488872251,1096400
2022-03-31,119.46603393554688,121.37264759351173,119.24013190871676,119.48409617035813,1149100
2022-04-01,121.9328842163086,121.95999135738208,118.88772920668144,119.36664041626773,901200
2022-04-04,120.74916076660156,121.21902707442511,119.18590874921732,121.21902707442511,713600
2022-04-05,121.34552001953125,123.00816932479502,120.92986803418887,120.95697517288664,877100
2022-04-06,124.34550476074219,124.68888023313,121.56239030214306,121.76118517689761,1543300
2022-04-07,123.18889617919922,124.49912519055447,122.33047122610203,124.15574969412934,1319400
2022-04-08,124.1105728149414,124.49008654637687,122.42081636340241,123.72201417858962,1007300
2022-04-11,123.66780090332031,125.15874870232747,122.9720188294,124.4177972553187,912200
2022-04-12,124.5623779296875,125.01418196456056,122.51118375073365,123.45093007656504,924400
2022-04-13,123.4599838256836,124.86056540374955,122.39371905725895,124.6979225577674,1073900
2022-04-14,123.94793701171875,124.7160095085075,123.33349004466145,123.33349004466145,817200
2022-04-18,123.94793701171875,124.72504062697583,123.16180227799333,124.12865589685518,648600
2022-04-19,124.4901123046875,124.69793834129203,123.33349484919698,124.27324136129515,548000
2022-04-20,125.7099380493164,126.30632262657434,125.08644633563432,125.33042435141505,785200
2022-04-21,124.95093536376953,126.71296851961475,124.76118537127576,125.6286414843228,1017400
2022-04-22,123.62261962890625,124.95995573111331,123.54129821054804,124.73405371036377,664200
2022-04-25,122.61962890625,124.10154578972545,121.29132376087036,123.938902933377,889500
2022-04-26,121.55338287353516,123.93890804751503,121.47204765403797,122.02324922546352,699100
2022-04-27,121.41781616210938,122.89070177940857,120.703971828772,122.09552223809877,764400
2022-04-28,122.45697784423828,123.27021964742005,120.63168555793717,121.08348962369723,989100
2022-04-29,118.40880584716797,122.14071191685908,118.25519411630451,121.80638131368366,1343000
2022-05-02,116.33052062988281,120.30639105792557,114.98413949453041,119.4389211490612,1238200
2022-05-03,117.11665344238281,118.9871151522337,116.51123763349553,116.8636442621901,1378000
2022-05-04,118.15576934814453,118.42685448791472,117.01722830666526,117.91180513151802,1404600
2022-05-05,116.4118423461914,118.74315308236206,115.4630510088712,117.92086633748679,1516000
2022-05-06,117.17988586425781,117.46904705985898,115.64376182351187,115.86062582623039,1204300
2022-05-09,117.03532409667969,118.23712451524067,115.4991862017873,116.72808686612551,849300
2022-05-10,116.03231811523438,118.94193726729983,115.21003144444083,117.3425470877938,917200
