Price,Close,High,Low,Open,Volume
Ticker,ELV,ELV,ELV,ELV,ELV
Date,,,,,
2022-03-25,462.84405517578125,463.0365843675344,456.00863719181456,456.1434046880104,857300
2022-03-28,466.72393798828125,467.0993890621471,459.2434741793106,465.5397643023776,904000
2022-03-29,472.7312927246094,473.8769485783656,467.0992927355317,471.45086938351716,1271500
2022-03-30,483.7546081542969,483.9182564871612,473.92507250981635,474.030988531356,1442500
2022-03-31,472.9142761230469,487.09536090292755,472.8757585300876,481.3670808882316,1445600
2022-04-01,480.7220153808594,481.46333945692015,471.2391077997845,475.37885276511093,1226100
2022-04-04,471.1042175292969,482.29118108908096,468.91882208627334,480.1539105904086,1065700
2022-04-05,476.3415222167969,483.0806601442476,467.8983557046023,468.581888610757,1032700
2022-04-06,487.98101806640625,488.9341154031986,476.63037504514705,479.1623703745169,1524100
2022-04-07,495.480712890625,497.54097799561384,485.63196171507946,486.9605394922684,1357800
2022-04-08,501.2667236328125,506.9950030084039,498.4748301315305,498.7251503873649,1368500
2022-04-11,491.6105651855469,504.0202220960636,489.75246600473383,501.7096367035955,915400
2022-04-12,490.618896484375,495.3651684095596,487.5285283387661,490.9943768751235,897700
2022-04-13,493.1219787597656,493.9884040602867,487.7402701128463,489.8005348728918,1062200
2022-04-14,497.4639587402344,503.28854732061257,495.1727055370274,495.1727055370274,1571800
2022-04-18,493.8344421386719,499.9863268137334,491.77417717146255,494.6335278522387,740900
2022-04-19,497.77203369140625,501.04535323943315,494.3639760231835,496.8382097899011,1157300
2022-04-20,510.0950012207031,512.328492359858,496.92474857710005,502.93225801129586,1590900
2022-04-21,503.3847351074219,513.791887570483,501.266708499639,513.791887570483,932000
2022-04-22,483.8990783691406,499.78419210195955,483.2925511439462,499.5627820472674,956600
2022-04-25,487.98101806640625,489.6561659626624,474.1561707904217,481.36703964256736,1211500
2022-04-26,483.5909118652344,492.31327953092284,483.33098426285784,485.3527315333832,1119200
2022-04-27,489.43475341796875,495.50960307668066,479.5956100029181,484.80400487077907,1140500
2022-04-28,497.4832763671875,499.84198698167023,486.3155828088582,491.0233379135098,1181200
