Price,Close,High,Low,Open,Volume
Ticker,FDX,FDX,FDX,FDX,FDX
Date,,,,,
2022-03-25,212.55284118652344,213.0125519072657,210.1135957457538,212.01808909318657,1452900
2022-03-28,215.8270721435547,215.93027192339053,211.6709511724286,212.81552534318695,1728100
2022-03-29,223.82032775878906,226.6348516413484,221.45612368912478,222.1128430653069,4055800
2022-03-30,220.70555114746094,223.46378646820673,219.6735534711932,222.58190014765188,2111300
2022-03-31,217.08419799804688,221.24969508800092,216.98099822994777,218.89488223553,1778600
2022-04-01,207.57113647460938,217.356290974649,207.3365928175759,217.08422663127004,3435700
2022-04-04,204.51271057128906,207.20526741312457,203.33999218158232,204.88797472983123,3479800
2022-04-05,197.9829864501953,205.31012785077056,197.64524301858094,202.0171401290868,3124100
2022-04-06,191.38763427734375,196.5475950054094,190.9654585354021,196.5475950054094,3492800
2022-04-07,191.17185974121094,192.3633312851283,186.8937854642622,191.1249481438372,3223300
2022-04-08,189.0609588623047,191.08740522001253,187.25027434967248,189.59571096705525,2321200
2022-04-11,191.50021362304688,194.81196914183548,187.26905091406283,187.26905091406283,2081000
2022-04-12,191.74412536621094,194.36162614733615,189.82086461287673,191.50958172105817,2031800
2022-04-13,193.55477905273438,194.7181205877726,190.53385601362803,191.76286231973893,1365500
2022-04-14,193.0200653076172,195.60942229086973,192.27889928806314,194.2490718574444,1922300
2022-04-18,190.693359375,194.1833699468104,189.48312046940174,192.8136430809648,1510100
2022-04-19,195.90023803710938,197.1011003927593,191.64093160619615,191.90361935178151,1761400
2022-04-20,196.25677490234375,200.83507218534479,196.15357510898394,197.52330220403894,1824900
2022-04-21,194.07080078125,197.7202994487554,192.79488273650884,196.99790098931152,2099500
2022-04-22,192.52279663085938,195.05586493339672,191.6315193980384,192.90743729852187,2114800
2022-04-25,192.7010498046875,193.07632821969818,185.47710852177318,191.43452273197184,2162600
2022-04-26,187.63491821289062,192.59785550084197,185.97434517839224,191.8285597801814,1927500
2022-04-27,186.940673828125,189.09847836569162,184.02295012174872,185.96497850018136,1613700
2022-04-28,194.0614471435547,194.2678467278101,188.1884642167762,189.34242943295249,2261400
2022-04-29,186.45281982421875,195.95651851589565,185.75856548653033,192.64476341785834,2338600
2022-05-02,184.8297882080078,188.08525548675968,180.89884833109446,186.6404727810386,2225600
2022-05-03,187.10955810546875,188.19784415621618,183.50697081548705,185.064329884898,1957800
2022-05-04,196.5382080078125,197.0448160082417,186.81871828740776,188.19783613604287,2454400
2022-05-05,194.4273223876953,197.5326782329422,192.26012689039635,194.20215531494225,2646500
2022-05-06,197.21371459960938,199.30584022124006,190.6840122360662,193.65802438679424,2357600
2022-05-09,195.3936309814453,199.43716127970706,192.96374785004033,194.50236796070087,2320600
2022-05-10,195.19662475585938,198.47085959503445,190.35563989384633,197.2793737240415,2278600
2022-05-11,194.3897705078125,199.05249932511725,193.66737207143072,194.86824870644563,2807900
2022-05-12,195.32794189453125,195.45928576123322,189.80209427011422,192.62600887731824,2345500
2022-05-13,198.22689819335938,201.76382032338006,195.72197381440293,195.78765290556512,2077100
2022-05-16,196.7539825439453,198.83673134655518,195.46868789487306,197.45761350927546,1301600
2022-05-17,207.80564880371094,208.76259078845723,200.70366106800836,201.21028330745324,2927500
