Price,Close,High,Low,Open,Volume
Ticker,GPN,GPN,GPN,GPN,GPN
Date,,,,,
2022-03-25,132.55596923828125,132.71170343412803,131.13492069153256,132.01091440444787,1746000
2022-03-28,131.89410400390625,132.7117010918566,129.8501484131056,132.43917367974987,1410200
2022-03-29,136.6438751220703,137.79239608193555,134.31764975302153,135.0476369799401,2033600
2022-03-30,133.85047912597656,136.5173566294485,132.39050448627847,135.87497907522018,1937900
2022-03-31,133.18862915039062,135.36886350370926,132.1763865034118,133.1399603540212,1799400
2022-04-01,136.05014038085938,136.19613187357066,132.93553143946087,134.20084549892408,1546400
2022-04-04,136.75094604492188,137.8118572932638,136.0112309716211,136.05988490741595,1676300
2022-04-05,135.6705780029297,137.6658796756292,135.1449936599486,137.03321507853263,1654900
2022-04-06,135.19363403320312,135.97229007753236,132.77008584540968,134.483117261631,2153000
2022-04-07,131.0181121826172,134.42471934820617,128.92548800726397,134.4149915314622,2330400
2022-04-08,131.3101043701172,132.61434463553653,129.4899928070215,130.47305176587545,1502300
2022-04-11,132.57542419433594,133.5389978585398,130.09346457595186,130.42438856463542,1202400
2022-04-12,131.4658660888672,133.9964800645119,130.51200523073476,132.92584083114988,1400700
2022-04-13,134.37606811523438,134.8724690149662,129.918276945446,129.918276945446,1324000
2022-04-14,136.2156524658203,138.21095442610107,134.79461857525482,134.9308823024547,1819800
2022-04-18,136.46865844726562,139.26207093309532,135.4369308943218,136.2447850485831,1269000
2022-04-19,140.7415313720703,141.30604171031652,136.65359136620475,136.95533186981297,1547900
2022-04-20,139.6806182861328,142.79524235909244,139.58329556612048,141.84138168222515,1461900
2022-04-21,138.21092224121094,141.95819614403618,137.62692648827255,141.2282088786777,1282300
2022-04-22,130.8526611328125,137.4420174169893,130.52173711629598,137.36415032163896,1887300
2022-04-25,132.10824584960938,132.40997159168992,126.88154093924689,130.09348839514465,1707700
2022-04-26,127.5531005859375,131.03757462653718,127.02750148144544,130.3757118378486,1267700
2022-04-27,132.54620361328125,133.82126041286728,127.81590075962035,127.81590075962035,2342200
2022-04-28,140.0504913330078,140.06996181878722,134.61938422762748,134.61938422762748,2805500
2022-04-29,133.32485961914062,139.85581838007724,132.77980487965092,138.19144100976686,2685400
2022-05-02,121.0416259765625,129.93773712257473,115.59105571725787,129.81120124027103,7150000
2022-05-03,124.65264129638672,127.3195187876677,118.94899904349208,118.94899904349208,3425600
2022-05-04,130.11293029785156,130.65799996172234,123.46518487456551,125.1392977103376,2107900
2022-05-05,122.5307846069336,128.7892159443834,121.14867728605942,127.68936380702553,2298800
2022-05-06,117.77129364013672,121.65482430160382,117.3430320142753,121.38229687635216,2114000
2022-05-09,115.22117614746094,117.3527411324175,113.7806722415923,115.72730476094952,2553500
2022-05-10,115.75651550292969,118.60833274735383,112.34017298501753,117.43062083765165,2445900
2022-05-11,114.11160278320312,117.95620668603557,113.11882340846243,114.87078832138381,1542400
2022-05-12,114.6761245727539,115.5034419310754,111.7367126550267,112.68082321520151,1784600
2022-05-13,118.93926239013672,120.5452359525891,115.88304945529968,116.16531210543621,1501800
2022-05-16,116.72008514404297,119.17284629928089,115.66890179179813,117.9075321798217,1371700
2022-05-17,120.6814956665039,120.72042921273376,117.28462358545615,120.03911071824784,1352700
2022-05-18,116.47676849365234,119.33832100454151,115.93171370141235,118.18007214521693,1729700
2022-05-19,117.25542449951172,118.91005936125484,114.44254077905964,114.8610671159685,1208700
2022-05-20,118.8419189453125,119.24098219337642,115.49371591721794,118.89058773072021,1105000
2022-05-23,121.66455078125,121.79107924076915,117.55715435874463,120.61336728030443,1534800
2022-05-24,119.5816421508789,120.51602491511689,117.11915308067661,119.95149967448954,1123800
2022-05-25,122.14146423339844,123.3191761021882,118.30660294083926,118.45259444976065,1218100
2022-05-26,125.21714782714844,125.70380602290359,123.34838956345895,123.34838956345895,949000
