Price,Close,High,Low,Open,Volume
Ticker,MCO,MCO,MCO,MCO,MCO
Date,,,,,
2022-03-25,321.8823547363281,323.0217963356594,319.4086507414941,322.34008701425864,507600
2022-03-28,326.9952697753906,327.2095280444589,322.3205520105212,322.55430721737685,644200
2022-03-29,330.7545166015625,333.841779642565,328.32952535206573,331.5433698928673,514900
2022-03-30,329.4884338378906,332.1276831312145,328.35871114458166,331.4362254358149,689200
2022-03-31,328.60211181640625,336.19848546595125,328.60211181640625,332.1762919578319,1032300
2022-04-01,331.4459533691406,332.2445550794476,327.1997818340406,328.55348157722455,657300
2022-04-04,333.44244384765625,335.45841525698637,331.36804106886217,331.62126348383333,765100
2022-04-05,333.5203552246094,335.8771961934972,331.8355344722126,332.72178323766065,664000
2022-04-06,332.2055358886719,334.776634709289,329.3909928728396,331.0563461374583,855300
2022-04-07,334.41632080078125,335.9355957631692,329.3325838971171,331.59202912562097,616500
2022-04-08,333.74432373046875,337.18217440300845,332.2542644808057,333.228160192244,655300
2022-04-11,325.6415100097656,331.4264530152028,323.7813656016662,330.7642110527941,1167300
2022-04-12,323.4697265625,328.60214611467046,321.96991888814597,326.00183156268366,619900
2022-04-13,324.9501037597656,325.0669665103284,317.830927235527,322.0478833300338,806400
2022-04-14,319.82733154296875,326.6251340076107,319.3014195601957,325.2811532299335,968700
2022-04-18,319.6618347167969,321.96021457888895,317.8406245733968,318.9606285397119,643900
2022-04-19,324.8332214355469,325.4175648740934,318.1230649426156,318.7074083811621,946800
2022-04-20,326.2940673828125,330.4233761935605,325.2325244940473,326.9076265113975,537500
2022-04-21,321.3077392578125,329.7319326087929,320.8207913216756,327.93021930089753,776200
2022-04-22,314.0035095214844,321.28823137658753,313.6723587817594,317.49004354826604,1059500
2022-04-25,317.0128173828125,317.2367943855288,309.07554318623414,311.6466422508548,1376900
2022-04-26,310.6727294921875,317.0225187810167,309.92284049984755,314.6851750362349,973300
2022-04-27,311.1499328613281,316.1557711086996,308.87102045190863,308.87102045190863,976500
2022-04-28,318.07440185546875,319.720288278123,309.55281286519414,315.0650671385593,771800
2022-04-29,308.2185363769531,317.4510490271326,307.3420064288489,315.3863948010746,1283500
2022-05-02,293.2691955566406,297.7783370748834,279.51779402861035,280.51115687079067,2997500
2022-05-03,301.3428649902344,302.2972638955158,291.24354012696955,291.59415808553973,1623800
2022-05-04,309.124267578125,310.29292469850435,294.73008892986985,303.0666345498613,1338000
2022-05-05,296.0740661621094,306.7771712943444,293.288708771024,305.4916217292281,1247700
2022-05-06,292.59722900390625,294.66188315032554,287.66931909716936,291.9154901196636,1061700
2022-05-09,278.17388916015625,290.01646680629153,277.03441788613515,288.2342206752513,1261700
2022-05-10,277.59930419921875,281.738361901572,274.1614527552785,279.18675932041367,1180300
2022-05-11,274.8138732910156,280.55013305886433,273.1679872294629,275.92412862192975,950000
2022-05-12,278.13494873046875,279.28413885123354,269.56467601429733,270.74308182555797,925300
2022-05-13,281.41693115234375,285.7020668668157,278.5147405958358,282.7414449380923,1239500
2022-05-16,280.2482604980469,282.5174245990388,274.8723367454447,279.76131260572805,961400
2022-05-17,285.215087890625,286.3253432836941,281.5435117051986,284.84503248054085,880200
2022-05-18,273.275146484375,281.4461161653819,272.4278619586491,281.31950496573296,831000
2022-05-19,276.06744384765625,277.30737385405854,270.5218595011079,271.35174705291183,1631300
2022-05-20,282.42340087890625,282.4819783849941,275.12046036407696,280.2266550147941,1505900
2022-05-23,288.1642150878906,289.2088968669793,281.60326669826355,285.0887770479684,716300
2022-05-24,285.9479675292969,288.52546713303695,282.2378900424102,287.0609699186724,762600
2022-05-25,285.0790100097656,287.96897254887415,282.5405720808021,283.59499693488084,805900
2022-05-26,292.3526306152344,293.7487771458135,286.32865371895303,286.924231272407,666600
2022-05-27,300.2121276855469,300.280478033281,294.73492292387766,295.26215021383206,572200
2022-05-31,294.4322509765625,298.9721857735174,292.91891951406546,297.9079881824874,2883300
2022-06-01,275.69647216796875,293.875758508458,263.0920299136519,265.21068221281797,3024000
2022-06-02,286.62158203125,286.9437582448691,274.1342965733384,275.81358757267117,810300
2022-06-03,278.5278625488281,282.23791050948466,275.7453116806986,279.67992662347393,947400
2022-06-06,277.7955627441406,283.22396276266966,277.73698524572455,279.92395797397546,565900
2022-06-07,282.5405578613281,282.9701162652445,275.32545452091233,275.32545452091233,721100
2022-06-08,277.16094970703125,283.12631998182104,276.8680324234945,280.2070987660957,566400
2022-06-09,272.8260498046875,278.664522324493,272.59173980231066,275.6866936663611,617300
2022-06-10,266.7630310058594,270.04349010800007,264.5174509772396,267.05591849881165,915800
2022-06-13,259.069580078125,263.4142375536264,257.97609352065297,261.4615744737766,936100
2022-06-14,251.5810546875,260.05560364016327,250.76093993033274,259.66507705988386,1084000
2022-06-15,256.0917053222656,260.3875871678502,252.86005088520227,254.25622738265162,861300
2022-06-16,247.63670349121094,250.64380608553623,245.55711277653992,248.31037456202748,1213600
2022-06-17,249.81390380859375,252.91863042593633,245.06893273674916,245.96715581279105,1675900
2022-06-21,253.90476989746094,256.81424852115845,251.95210687907226,254.23671903515427,822900
2022-06-22,256.94110107421875,259.2159397139579,251.24907335861695,251.981321775888,841500
2022-06-23,263.6094665527344,263.85354939213505,258.3567990815888,258.3567990815888,759800
2022-06-24,270.9319152832031,271.22480273297106,265.0055775890278,265.57186638559847,1205300
2022-06-27,271.2248229980469,272.6698040471503,268.5496847727401,271.54702901213034,760000
2022-06-28,264.1952819824219,273.0408420554585,263.668054685376,270.4047353654988,756000
2022-06-29,265.5035400390625,267.47571856798436,262.8284017719156,264.49791997697486,534900
2022-06-30,265.5328674316406,267.65151980228893,261.7349237639033,263.6094932704123,708900
2022-07-01,268.40325927734375,269.07693030319115,263.6289845981008,265.0349041481068,706500
2022-07-05,273.4215393066406,273.51917838521655,264.5955267543323,264.6833929864716,747300
2022-07-06,276.2920227050781,278.6840466341654,272.0547478610622,274.0855339271633,633500
2022-07-07,278.1958312988281,278.62541943637194,273.4996803270688,275.21803287724396,766900
2022-07-08,277.4050598144531,279.8849500415479,275.09115904387266,276.448244266608,532800
2022-07-11,276.9266052246094,279.07451606000996,275.6573567445746,277.29758606512,611900
2022-07-12,268.93048095703125,278.8402381518897,267.56359323751855,276.60443102867686,796000
2022-07-13,269.194091796875,269.9361131870839,263.26775311412024,264.5662905469858,740700
2022-07-14,268.6863708496094,270.4632710731415,264.12689082032455,265.7085426717923,1081200
2022-07-15,274.9446716308594,274.9935060780885,271.77159457649014,272.31836757289125,937400
2022-07-18,274.20263671875,278.29346702789417,273.1872438790486,276.90706354703656,828200
2022-07-19,282.2964782714844,282.67723202795503,275.8526850045505,277.6002967763659,886800
2022-07-20,284.1417541503906,285.235240658903,280.6855323111284,283.2728346123049,893400
2022-07-21,288.94525146484375,289.1404998418128,283.7706778532774,285.3523297444762,652600
2022-07-22,288.4668884277344,291.42517159663004,286.0358325964923,289.92164258206805,731200
2022-07-25,283.7023620605469,288.4473481072168,281.7594721298627,287.7346154665608,1159200
2022-07-26,279.7873229980469,286.26040556152464,276.4189674303137,283.12636001753896,1174600
2022-07-27,286.67047119140625,290.458642455209,277.52224913577527,279.0648399084735,1562800
2022-07-28,299.0307922363281,300.0559283301681,286.8852267397182,289.01362212794595,960300
2022-07-29,302.90679931640625,304.15650224425707,297.8005756636801,298.0934929438866,808000
2022-08-01,300.23162841796875,301.59848619159726,296.9609128128566,299.73368995229293,831900
2022-08-02,300.23162841796875,303.4632824309016,294.91061125478143,297.31237775667614,871800
2022-08-03,302.58465576171875,303.5219256100138,296.86333797745897,301.8621502287275,798200
2022-08-04,305.8748779296875,307.07574650344816,301.5009024558725,303.1118433346319,873400
2022-08-05,303.70745849609375,305.29888366933216,300.3976802825086,302.66277660018864,482300
2022-08-08,305.4453125,307.63228550235704,303.09235003448043,306.5485718505624,546900
2022-08-09,303.1703796386719,305.11329915498004,302.02808872152514,303.61951348198846,322400
2022-08-10,314.9059753417969,315.1207694670108,308.17903689848964,308.4524085310098,779300
2022-08-11,310.0828552246094,316.9659796015966,309.52633918180084,316.9659796015966,341200
2022-08-12,315.3257751464844,315.65772426989247,310.84441728756724,311.91838786051807,373300
2022-08-15,314.67156982421875,317.5615319592724,314.07602202584513,314.6227651767434,458300
2022-08-16,314.564208984375,316.7023770852927,311.11776041269013,312.67989657616124,449900
2022-08-17,313.9490966796875,315.276922767598,310.41478207073555,310.8053086394384,387300
2022-08-18,312.9706115722656,314.6633603411457,311.88453388132547,313.9784553593714,294500
2022-08-19,304.19390869140625,310.91593438834394,303.1958588553464,310.69087749466325,504700
2022-08-22,297.87298583984375,301.49330483031207,297.01193506198507,300.35828606497756,510000
2022-08-23,292.1685791015625,298.00999483576965,292.1000796373106,295.5833998216337,541700
2022-08-24,292.4132385253906,295.152918905688,292.06097684205145,292.27623957623746,466700
2022-08-25,299.4581298828125,299.6636282970404,291.7087315309864,293.67544869964524,434400
2022-08-26,286.60113525390625,300.10389077098085,286.3369614228421,299.60489575674853,516000
2022-08-29,283.8516540527344,287.4621789559226,283.3624233597308,284.98667284373533,464400
2022-08-30,280.6226806640625,286.10206975538307,279.02781387447266,285.68133857518944,524800
2022-08-31,278.391845703125,283.45050462352776,277.8145570211141,282.9906265398548,965400
2022-09-01,280.6031799316406,280.74994318048294,273.44083478538994,277.8928524021039,509100
