Price,Close,High,Low,Open,Volume
Ticker,RSG,RSG,RSG,RSG,RSG
Date,,,,,
2022-03-25,126.391845703125,126.48796704156543,124.9116738871193,125.54602485623195,614700
2022-03-28,127.8912582397461,128.06427373401738,126.22846450455964,126.73787538681941,849400
2022-03-29,128.43911743164062,128.79474000568194,127.30494716941955,128.34299608760125,1242800
2022-03-30,129.45794677734375,129.46755304589064,128.03544173128589,128.41029152943824,545700
2022-03-31,127.78944396972656,130.46097080573827,127.7798047812638,129.73763433043794,1269000
2022-04-01,128.5127716064453,128.65743300502885,127.02752728782433,127.91481820387699,1054800
2022-04-04,127.44225311279297,128.6863854848567,126.72855576301033,128.27167959960863,948600
2022-04-05,128.53207397460938,130.09447605734027,126.99858945736493,127.3457915553405,1104200
2022-04-06,128.696044921875,129.51581753829223,127.57728082807246,127.97270835169029,1281100
2022-04-07,130.4705810546875,131.04925599309993,128.09804618308956,128.49345885081254,1303000
2022-04-08,131.0010528564453,131.70509620179746,130.2777164188552,130.9721205762471,937200
2022-04-11,130.94320678710938,131.8594301275106,130.51884699585335,131.14573277709638,1171200
2022-04-12,129.14932250976562,131.52185795233652,128.83105268867567,130.4802516423108,863900
2022-04-13,128.4163360595703,129.78586613770767,127.52904503851838,129.04323653235807,849600
2022-04-14,127.99197387695312,129.84371333178782,127.92445541444621,128.91783624621198,890700
2022-04-18,127.59654235839844,128.95641830584987,127.01786735887801,128.37774330632945,761500
2022-04-19,128.96604919433594,129.35182269164767,128.0787583774665,128.29093821588262,906200
2022-04-20,129.54478454589844,130.56709803502557,129.16863534364575,129.7858967731953,790800
2022-04-21,130.01730346679688,131.435043977664,129.5929437606439,130.14268648442842,1032400
2022-04-22,127.69298553466797,130.26807618211632,127.55796332272423,129.95944557406355,1501500
2022-04-25,127.74119567871094,127.97266860715665,125.75443420424429,127.57724120634691,1261700
2022-04-26,130.1812744140625,132.76600444373594,128.81175909957045,129.3904341750205,2081700
2022-04-27,132.1873016357422,133.14211089502277,129.99799954305874,130.1909010052842,1799200
