Price,Close,High,Low,Open,Volume
Ticker,STZ,STZ,STZ,STZ,STZ
Date,,,,,
2022-03-25,219.0048065185547,219.78760674857728,217.1814336237698,217.89741637198003,497600
2022-03-28,218.9666290283203,219.25302506241385,217.0573415566399,218.32701947331228,503100
2022-03-29,221.23867797851562,221.78283188077336,218.69932223472668,220.6468035445148,534900
2022-03-30,222.50836181640625,222.52745876963968,219.28166135520067,220.51315992137876,599900
2022-03-31,219.87356567382812,222.90932594738712,219.78763666165116,222.56565359880418,699200
2022-04-01,223.1097869873047,223.27207466935528,218.08835176995632,220.04537428102483,592300
2022-04-04,219.2912139892578,226.0596344266491,217.91652471019296,225.945067275589,936400
2022-04-05,219.89260864257812,221.99282169999714,217.5632758716076,217.5632758716076,894700
2022-04-06,221.2959747314453,222.47973827560708,217.82107191690855,219.53943365304394,999400
2022-04-07,231.50112915039062,235.31970447658264,225.12411534767023,225.28640305102832,2057400
2022-04-08,233.37220764160156,235.090554665394,228.74217982368742,230.87103121726636,1270800
2022-04-11,236.2838592529297,237.7731156755226,233.16218481144068,233.16218481144068,1254700
2022-04-12,237.5439910888672,240.40792215836277,235.2910313981957,235.2910313981957,1097000
2022-04-13,237.3530731201172,239.10007287833622,236.12157456211838,236.15021270842468,780300
2022-04-14,240.01654052734375,242.34587371137738,238.61321298723672,238.66094809019643,780400
2022-04-18,241.35305786132812,243.24324854857497,239.7969837714671,240.01654777165876,770200
2022-04-19,242.35537719726562,244.47468725190026,241.3816511685894,241.3816511685894,786300
2022-04-20,247.0426788330078,247.77774394432547,241.906691412596,243.43412705610092,1045800
2022-04-21,242.67999267578125,249.6584215500366,242.2408501440014,247.87324240933657,1141800
2022-04-22,239.57737731933594,243.78734475403073,239.27188435867183,242.0880802187784,1097200
2022-04-25,237.45809936523438,240.39840395915618,235.0332960037776,240.03563466097572,1271000
2022-04-26,236.6752471923828,239.5678162282781,234.66094854879083,236.7611616231427,861300
2022-04-27,238.00221252441406,240.3506423766413,236.01655193039997,236.67525839748956,870400
2022-04-28,238.83273315429688,240.15014600735228,236.29339220329194,237.2766739636518,607400
2022-04-29,234.92823791503906,239.1191226986779,234.1072438437549,238.01174720333373,796700
2022-05-02,232.9617156982422,237.15260122396674,231.0524281773343,236.04521096583028,895200
2022-05-03,233.93544006347656,236.58934836672756,232.69440034827772,234.37456800523958,1030800
2022-05-04,242.89060974121094,243.2737121034806,232.8627512266896,233.85882613724166,1122800
2022-05-05,241.27198791503906,243.76218262961456,240.3908407439352,241.10916867178912,1808400
2022-05-06,237.0194549560547,240.62066659484728,236.17661228157283,239.44261303077272,1592800
2022-05-09,235.84140014648438,239.51923515575396,234.11741041888385,234.78784680894594,1148700
2022-05-10,236.35861206054688,239.480938751414,233.56192384494926,237.91978271318973,1059200
2022-05-11,235.57322692871094,240.38122407791042,235.23800142456693,236.21493137815986,997700
2022-05-12,234.86448669433594,238.08259620707764,232.7095030370826,234.79743574341174,1282700
2022-05-13,238.40821838378906,239.8353016138243,233.6959895289839,235.2667324805856,1529000
2022-05-16,238.88711547851562,240.12264760304993,236.76086380717476,238.80091964129267,982900
2022-05-17,240.35250854492188,241.48268535554516,238.18795243565125,240.40997243768913,1012900
2022-05-18,227.03952026367188,240.4004170113385,226.83838201032984,240.4004170113385,1375300
2022-05-19,224.91326904296875,227.60460205824833,221.97290632145985,225.22933509089253,1422000
2022-05-20,224.59716796875,226.79045584394353,222.64332270333128,226.28283868037434,1269000
2022-05-23,228.59109497070312,230.161838085075,225.1335427073431,226.03384936090114,1201100
2022-05-24,233.69602966308594,234.07913206266736,227.6908038251978,227.6908038251978,1088300
2022-05-25,232.76693725585938,233.60977987763994,230.20969206232036,232.27847961700914,740300
2022-05-26,234.05038452148438,237.02905151521972,232.49880090779712,233.79179699548237,887800
2022-05-27,235.90846252441406,236.7991967380255,234.56758959624707,236.11917321518584,959400
2022-05-31,235.1039276123047,235.6690087041903,232.12526074981946,234.85491254158003,1958900
2022-06-01,233.868408203125,235.61155763633116,229.69254259355904,235.30506404237093,883900
2022-06-02,235.41041564941406,235.4391622110078,229.9415540256224,234.25152147490394,677300
2022-06-03,233.05426025390625,234.88360512385867,232.18268573080863,234.6537349794239,618200
2022-06-06,235.48704528808594,236.73214995154044,233.53319975630407,234.20363623218907,509800
2022-06-07,235.84140014648438,236.44478559033163,233.20753141705552,233.25540824787498,730800
2022-06-08,235.08473205566406,236.34899594641047,234.0311934277913,234.70162975724048,588000
2022-06-09,231.4452362060547,237.11525044454845,231.30157647637074,234.65377323689785,838800
2022-06-10,228.99334716796875,230.56409021594757,226.52229750448657,228.38037462764575,718100
2022-06-13,220.3159637451172,225.89019549507753,219.60720825988352,225.17186756530444,1232600
2022-06-14,221.72389221191406,224.44395718774427,220.2489319294882,220.89063647287227,970300
2022-06-15,220.8427276611328,224.396048096698,218.1705397334483,223.54363292076823,1102500
2022-06-16,216.23583984375,217.96940203000628,214.4064947661708,217.88320619646606,1159700
2022-06-17,218.08433532714844,219.35817181901007,215.35469822837442,215.35469822837442,2663200
2022-06-21,225.0186004638672,227.25977989508831,218.37167094844537,219.760435231155,1349600
2022-06-22,227.37472534179688,228.57193854307934,222.70081494179504,224.38648586800994,1335200
2022-06-23,229.24237060546875,230.0947857494742,227.77698293784616,228.02599800185953,964600
2022-06-24,235.13265991210938,235.3721025393111,230.2097200814183,231.52186100187004,1151500
2022-06-27,236.9715576171875,237.79524077010544,233.85880372520026,234.98898043009552,799200
2022-06-28,235.15179443359375,241.425193522725,234.35684324200332,237.97721421153966,968300
2022-06-29,233.34164428710938,237.91019929829127,233.15007848515236,235.21886638516992,1272800
2022-06-30,223.21800231933594,228.02601457828888,221.49401240433102,228.02601457828888,1966600
2022-07-01,225.4879150390625,227.71952218881614,220.4404747300951,223.21800349740386,1345200
2022-07-05,226.71385192871094,227.6811948317442,221.58977412393816,225.66987102076,1326300
2022-07-06,229.3285369873047,230.51616287866906,226.5893131773015,228.84006475122277,1070500
2022-07-07,231.4069366455078,233.33205013553805,228.78264015130964,228.78264015130964,881200
2022-07-08,231.94326782226562,235.47744311649353,231.2153675423989,231.79960810071864,692400
2022-07-11,230.956787109375,232.24978318234173,230.3246550463949,231.01425100338798,535100
2022-07-12,230.40127563476562,233.83966831920463,230.0181732697364,230.36297124403006,644200
2022-07-13,234.63462829589844,236.09044364285316,230.16184152300752,232.30725284407663,1089500
2022-07-14,240.3716583251953,241.00379034890446,230.59281530257678,231.1195919890011,1330500
2022-07-15,234.2131805419922,235.70731472730716,229.64462599584382,233.15964181056256,1722100
2022-07-18,233.16921997070312,236.91410604753665,232.34553677495992,235.01772459293446,842700
2022-07-19,234.3951873779297,235.67861104799758,232.77655277719367,234.05997644726153,818100
2022-07-20,232.90106201171875,235.87972899556576,232.54669158616875,234.29941343979115,882100
2022-07-21,232.04864501953125,233.61938811891292,229.14660145551767,232.76697292378051,813200
2022-07-22,232.14442443847656,234.0408059852235,230.9088922776187,232.46049046533744,504200
2022-07-25,230.50660705566406,233.26499056375235,229.35728546543294,232.11566897352122,577100
2022-07-26,231.30157470703125,232.2497727589462,229.29983787851765,230.60240633722094,871400
2022-07-27,234.96023559570312,235.82222308811825,230.85139249963123,231.73253949159803,679800
2022-07-28,237.86231994628906,238.523169344143,234.36644869941398,235.57324893553564,712500
2022-07-29,235.90846252441406,237.84316313312826,235.49662820162663,237.0194798731346,865200
2022-08-01,233.83966064453125,237.80482991156148,232.671179470798,235.92760792434336,1196300
2022-08-02,234.6537628173828,235.2188438816053,232.69033045051714,234.46221164817047,772700
2022-08-03,236.1670684814453,236.9524327479411,233.1979738739942,234.67294873322777,972900
2022-08-04,232.85316467285156,237.22059591563035,232.4125984167286,235.9946508164089,874800
2022-08-05,234.04080200195312,234.08869345025363,231.33988215352036,232.83401642263829,1059000
2022-08-08,224.96116638183594,236.37779034134738,220.87148177003812,235.11352611657026,2464900
