Price,Close,High,Low,Open,Volume
Ticker,TXN,TXN,TXN,TXN,TXN
Date,,,,,
2022-03-25,169.38499450683594,170.57591401494662,167.82764467857768,169.17429777167212,3738800
2022-03-28,170.0995635986328,170.2003340453931,166.73751538897235,167.7910271466339,3117000
2022-03-29,174.9822998046875,175.28461110251666,171.57444478351172,172.1973930883047,5835700
2022-03-30,171.72105407714844,174.88156153065708,171.04315647713537,174.05708618745413,3865700
2022-03-31,168.08416748046875,172.79286891047155,167.8093377204376,172.34399381489558,7170700
2022-04-01,166.80162048339844,169.3666745348863,164.66712972526554,168.95442297175325,4631700
2022-04-04,167.3787841796875,167.96508112992984,165.4183524418376,166.3161165891164,4644800
2022-04-05,162.31275939941406,166.59091041658303,161.57072901067417,166.38936957292296,6956500
2022-04-06,162.37693786621094,164.53891063050585,160.1508460764751,160.3157355519713,6932900
2022-04-07,162.69757080078125,163.9159580590517,160.59056124844332,161.46084385224611,4178500
2022-04-08,159.5004119873047,162.42274098541597,159.24390793528448,162.32197053794928,4504500
2022-04-11,157.51248168945312,159.80270617841592,157.36590396733848,158.27283789719928,4347800
2022-04-12,158.48353576660156,161.57075392664814,157.9247204281721,160.7004714103192,4550800
2022-04-13,160.41650390625,160.7646225434244,157.94306395716148,158.7675392807168,5229100
2022-04-14,159.088134765625,161.33255165182806,158.96903863594102,160.23324684822032,4578500
2022-04-18,161.74481201171875,162.67922751682542,158.48353457719776,158.48353457719776,3564000
2022-04-19,164.03504943847656,164.29155348310354,160.52642356853076,160.69132701346072,4671900
2022-04-20,164.36485290527344,168.24907922515803,164.0533856851417,166.36193621345953,4553700
2022-04-21,162.3585968017578,167.86430563115837,161.93720330749798,166.14205227612734,4735000
2022-04-22,158.76751708984375,162.72503163798322,158.41939850132573,162.4318761995637,6355900
2022-04-25,159.31716918945312,160.4714372234725,157.26512315055425,158.53848732323354,8737600
2022-04-26,154.30615234375,158.01631844942068,154.24201935467673,157.0452516190085,9591700
2022-04-27,155.17645263671875,157.49415874192644,147.03241477026285,147.0782220565297,12570400
2022-04-28,161.09437561035156,162.03794686125377,155.72608953338002,155.79020854211885,8233600
2022-04-29,155.9643096923828,161.25930833928945,155.67115420681287,159.4362843567615,6698600
2022-05-02,159.39964294433594,159.50956925947818,153.9763924020313,156.2391355781931,5851500
2022-05-03,158.0621337890625,160.12333591531745,157.56745142926678,159.28970479007694,5438600
2022-05-04,161.44253540039062,162.02883243622153,153.2893400617386,158.6484581286872,10311500
2022-05-05,155.99180603027344,160.2974262883716,154.4985748385253,159.76609240432364,7740400
2022-05-06,154.44229125976562,156.8679943802708,152.86513388042857,154.80199505448013,5724800
2022-05-09,152.12728881835938,155.3738554405998,151.35254428332127,153.20640029362036,7929700
2022-05-10,155.1708984375,157.56891854052412,153.38159796213725,155.3000224886362,7033300
2022-05-11,151.8966522216797,157.10774667323412,151.48161166709423,153.77817597008402,5892800
2022-05-12,153.0126953125,153.5199735070494,150.0336092950105,151.15883944529492,5936100
2022-05-13,156.5543975830078,157.42136542999725,154.5621856049527,155.32771189485726,5329900
2022-05-16,155.41070556640625,156.92330771639877,153.87043498046918,155.01411526888964,3648900
2022-05-17,161.3873291015625,161.50723504121024,158.01165321073498,158.7310607016873,5851300
2022-05-18,157.0708770751953,161.3227668356731,156.4990299125105,159.93005659475347,5747200
2022-05-19,154.5990753173828,157.47671959108294,154.1748165434862,156.6650745301075,5399600
2022-05-20,156.61895751953125,157.07089881051277,151.45398054037926,155.502959621725,6278300
2022-05-23,156.7296142578125,157.615046426555,155.1616752392673,157.04321332029505,5384100
2022-05-24,154.8204345703125,156.3145865251129,153.4461744897392,155.21702489966103,5121700
2022-05-25,156.8034210205078,157.6980714217476,154.03646449876868,155.032570535411,4712100
2022-05-26,160.6033935546875,161.2490139659502,156.13935941080788,157.08936081945023,4536600
2022-05-27,164.1450653076172,164.49555092810732,161.88538723651374,161.88538723651374,5857900
2022-05-31,163.029052734375,164.44019925748643,160.308215310822,163.01061649277455,9408000
2022-06-01,160.87081909179688,163.79456755706045,159.28442986969984,163.7207803753971,4681600
2022-06-02,162.99217224121094,163.06595943075828,158.9985303253159,160.48346409047102,6521600
2022-06-03,158.9431915283203,161.86694027060287,158.629606531639,161.28587495586555,4485500
2022-06-06,154.72821044921875,160.723283177234,154.37773884430928,160.16066809674305,5603800
2022-06-07,156.65585327148438,156.86798265418497,152.4039630551452,153.21559402640008,4416100
2022-06-08,152.5238494873047,156.56361017682,151.97046667302823,156.56361017682,5112600
2022-06-09,149.0282745361328,153.77821076318622,148.9176007827935,152.1918212891383,5353200
2022-06-10,145.52345275878906,147.96759184225778,145.4312152534453,146.79625715050273,6511000
2022-06-13,141.6035919189453,144.73946993674414,141.2438881811774,142.86716406150776,7765000
2022-06-14,142.1108856201172,143.82639919001477,141.15166616519147,143.09775944032546,4772600
2022-06-15,143.8079376220703,145.64335699860487,141.40991731930416,143.62347668700633,5442100
2022-06-16,139.61138916015625,140.70895075960058,138.53227787687428,139.74974542117252,6843700
2022-06-17,138.53228759765625,141.30847632598895,137.51774531301854,140.04488993935303,11262500
2022-06-21,141.53903198242188,142.57202440895898,139.9434105200796,140.0264298977927,6283100
2022-06-22,140.74586486816406,141.98176877349323,139.4177234466591,140.15558135565843,4242900
2022-06-23,139.39926147460938,141.30846812677567,137.65607952298566,140.9579824827719,4318200
2022-06-24,143.83563232421875,144.00165704752087,140.64441675181496,141.12401245586594,6425900
2022-06-27,143.53125,145.37588763659568,143.07932278605378,144.7948363510265,5762300
2022-06-28,142.18466186523438,146.639463116162,142.11087467642474,144.56424592884298,4687500
2022-06-29,140.91183471679688,141.38221213679904,139.21477186880654,140.59824977012877,4348300
2022-06-30,141.7142791748047,143.02398426640067,139.1686843319817,140.64440005370025,6807900
2022-07-01,137.00125122070312,140.4507291747567,135.5993365436664,138.67066034898608,8740200
2022-07-05,137.5177459716797,138.06191071478463,133.2381870766155,134.40952188157655,8486400
2022-07-06,139.09487915039062,140.2293271965891,136.84441929886654,138.34780326451684,5238200
2022-07-07,142.67349243164062,143.3283308755859,141.26234584289378,141.26234584289378,5169400
2022-07-08,143.4482421875,143.7433909594835,140.33080013239748,140.87497892155858,3467500
2022-07-11,141.6312713623047,142.97786299013802,140.76428944659295,142.14776763375818,4051100
2022-07-12,142.46136474609375,144.30600230343893,141.76039346728325,143.854061035441,4085100
2022-07-13,142.30455017089844,143.15309578423663,139.88807961010266,140.155559922026,3755400
2022-07-14,145.58804321289062,146.03997046444422,141.07790437903924,142.15701579743038,4758800
2022-07-15,148.0690460205078,148.225852592752,145.3943272733081,146.83314227240683,7466100
2022-07-18,147.2666473388672,150.01515353860097,146.6671457228861,149.15740377356937,4088700
2022-07-19,151.85055541992188,152.8097607085377,148.17049861409322,148.82535110590746,5390800
2022-07-20,152.48695373535156,154.13789803091893,149.91367665799763,151.1588125436162,5889100
2022-07-21,153.60296630859375,153.8612285194259,150.96513398540145,153.08647003386542,5466700
2022-07-22,151.16802978515625,154.68207586513176,150.21804264698855,154.68207586513176,5269700
2022-07-25,150.52243041992188,151.13116422607666,148.74236183117446,151.07582734796597,4201400
2022-07-26,148.34573364257812,151.42627466713165,148.12438616560715,151.42627466713165,6080600
2022-07-27,158.2145233154297,158.62957793597414,152.708294330166,153.82429193290352,11623100
2022-07-28,162.0975341796875,162.17132137481593,156.4160468160131,158.5650513761731,6468800
2022-07-29,166.080322265625,166.43311634922577,161.59617970102093,161.93968078274077,6624000
2022-08-01,165.99679565429688,166.28459543342953,164.09358574453628,165.19837650920448,4865700
2022-08-02,164.52992248535156,167.04586132390676,163.81505541397843,164.7898715720031,4442500
2022-08-03,170.33241271972656,170.94515603156484,165.12412290143178,165.26337630586536,6201100
2022-08-04,171.6692657470703,172.67193254535476,170.1002782802964,170.61089759879712,4533900
2022-08-05,171.10292053222656,171.44642158532022,168.57768914314826,168.99546337429248,3690100
2022-08-08,169.71035766601562,171.25149448505448,168.15994201053527,169.43183674498314,3547300
2022-08-09,164.98484802246094,167.29653923215866,163.49013362271074,167.05516197383653,5306400
2022-08-10,170.0074462890625,170.31381790365555,166.54454182632364,168.45703054211955,4276500
2022-08-11,169.02334594726562,172.37484759625866,168.65199415308297,170.29524071681226,3858300
2022-08-12,172.1056365966797,172.66266434273635,169.93318447194943,170.0631590293124,4160900
2022-08-15,172.1241912841797,172.35628971588227,169.85892249034015,171.6414367458764,2863400
2022-08-16,170.23023986816406,171.75280470539246,169.338975837663,171.5671288308351,4541600
2022-08-17,164.0564422607422,167.99282212969993,162.35748024202866,167.6771716998613,6869000
2022-08-18,165.68113708496094,167.41722867805217,163.211606574996,164.14927906208968,4390400
2022-08-19,163.8150634765625,164.77130784227248,162.5802981711141,164.28855332396688,4569500
2022-08-22,159.16380310058594,162.90522822348183,158.85743150870047,162.90522822348183,4919000
2022-08-23,160.16647338867188,161.43836813157415,158.0868665527902,158.14256790413447,3663900
2022-08-24,159.860107421875,160.23145922136084,158.52321827786506,159.13596149656345,3037800
2022-08-25,164.6134796142578,164.7991555153107,160.84420357484748,161.2155553769533,4350000
2022-08-26,157.3534393310547,165.18906956323613,157.29772381442788,164.7898671074661,6583500
2022-08-29,155.91441345214844,158.30037748473768,155.74729524846106,157.7712005330769,4625800
2022-08-30,154.80035400390625,156.75926506706003,152.96212447579347,156.17437256573666,5343300
2022-08-31,153.37991333007812,155.5894804714404,152.2751226763159,154.92103594422565,6489900
2022-09-01,154.26190185546875,154.54970163824,150.57617770298518,151.6531178036859,5593800
2022-09-02,151.32815551757812,156.69426934681033,150.75255602362787,155.97012347824003,4466200
2022-09-06,151.42100524902344,153.91837218989508,150.25122022023913,151.43028408541483,5057000
2022-09-07,153.94622802734375,155.45949990804922,151.77377631501975,151.9501733592756,5332400
2022-09-08,156.3507843017578,156.47146584813396,152.13586902772576,153.4077780125106,5473200
2022-09-09,158.51393127441406,159.60942894277153,157.23274354971733,157.29772373650619,5196200
2022-09-12,158.36537170410156,159.23806389801712,157.09347708786697,158.9873936757696,5216800
2022-09-13,151.00323486328125,155.3574037335227,150.3997846038672,154.18763273086725,7928700
2022-09-14,153.42633056640625,154.41971857857436,151.38386735543156,152.4700862335477,4792600
2022-09-15,151.02178955078125,153.8162492672452,150.13981843867543,152.46080250535522,6105400
2022-09-16,153.42633056640625,154.04835261629344,149.99127687074477,151.31888716588426,13417800
2022-09-19,154.34547424316406,154.69826843175,151.8109630536974,151.86666441691295,4929500
2022-09-20,154.1690216064453,154.9488687428389,153.09208175171483,153.5655715007942,5220200
2022-09-21,151.606689453125,158.05902263953874,151.5045655825704,154.60539704680906,6639800
2022-09-22,150.97537231445312,152.77645827975027,149.67562685813715,150.94752163797227,5696200
2022-09-23,149.74061584472656,150.2605282239594,146.96472770719805,149.67563565117487,6936100
2022-09-26,148.97003173828125,151.5138209386973,148.54296448228385,150.074808137043,4605800
2022-09-27,149.20213317871094,151.7273505938049,147.89309487749878,150.61328117058318,4261500
2022-09-28,151.14248657226562,151.92233382558553,148.00451155360258,149.954143853065,4881500
2022-09-29,147.10397338867188,149.84273186723868,144.95010745223783,149.3042760077525,6699000
2022-09-30,143.69676208496094,147.4289083705029,143.60391705732644,145.9620447640843,6074700
2022-10-03,148.39442443847656,149.1371421257547,144.90366972427938,146.13843486906995,6668500
2022-10-04,153.32418823242188,153.8719511900477,150.94750302470462,151.3745702883544,7233100
2022-10-05,155.78443908691406,157.11203505141629,151.7644933525382,152.55363352922697,5262600
2022-10-06,154.6146697998047,157.03777775474177,153.89981690021432,155.7658830074701,4171000
2022-10-07,147.87451171875,153.24062487654714,147.25248978979124,152.2751018946518,8306400
2022-10-10,145.56285095214844,148.18092814710118,143.1118919998902,148.12522678825786,6573600
2022-10-11,142.4619903564453,144.2166536355368,140.55878070640725,143.53893029656538,9526900
2022-10-12,140.69805908203125,142.78694477361682,140.62378589083534,142.37844930512074,4526100
2022-10-13,143.28826904296875,145.56283059670642,135.51761891534878,137.04018389753128,7913800
2022-10-14,137.71788024902344,144.91292944869303,137.48578188774377,144.73653242753494,7470600
2022-10-17,140.17816162109375,141.58003092585244,138.8227006656756,141.11583410314472,5936100
2022-10-18,140.660888671875,144.81080859045898,138.83195241396842,143.98453897390422,4866600
2022-10-19,141.71926879882812,142.06278404303401,139.1290570446599,139.84392403993235,5060100
2022-10-20,142.71267700195312,145.55355938380637,141.49648355303088,142.87050222692685,6506200
2022-10-21,148.28305053710938,148.57085033235117,142.91693580793034,144.28167575053735,7706200
2022-10-24,150.0748291015625,150.39049371146612,147.32679180780673,148.7379541340441,5467600
2022-10-25,150.54830932617188,153.05496920878178,149.64776640237258,150.0376900137864,8611200
2022-10-26,146.56549072265625,149.61991355018765,140.49380291020395,141.64501605535844,12964700
2022-10-27,145.5349884033203,148.48728767671673,144.3002231070604,148.3573131279611,7050500
2022-10-28,151.00006103515625,151.30887546526586,145.5069424331567,145.87190234526523,6776100
2022-10-31,150.31692504882812,151.1778557068786,149.0348747422741,150.10168167497955,6298800
2022-11-01,152.441162109375,152.93713284516218,150.2514029046791,151.8235476038472,4972300
2022-11-02,148.31430053710938,155.68836267869423,148.1177771110524,152.77803679562666,6923900
2022-11-03,146.47080993652344,148.42662036342787,145.3572102900795,146.33979905336034,4555400
2022-11-04,152.2072296142578,152.25402227497662,148.2488161182289,151.23400795523676,6689900
2022-11-07,155.0520477294922,155.62288388350032,151.17785270562018,153.2927466097725,4928300
2022-11-08,157.316650390625,158.93557331048953,155.11752429901617,156.6896688468522,5112300
2022-11-09,154.39695739746094,156.96102880422129,154.31272492158283,155.7070658330968,4800400
2022-11-10,163.47421264648438,163.94211066686856,158.03723993427846,161.05050432788175,9898200
2022-11-11,167.9660186767578,169.18254197739174,162.26701054101775,163.81108241192777,6911900
2022-11-14,166.04762268066406,169.49134465365893,165.86981917939636,167.50746196396022,5447300
2022-11-15,166.16929626464844,170.89505446192385,165.4580821930199,170.36165818731567,6601000
2022-11-16,162.32315063476562,165.09309828980543,161.93947091823495,165.09309828980543,7664800
2022-11-17,164.10118103027344,164.16667932269922,159.674870112985,159.72164848795487,5339800
2022-11-18,163.93275451660156,165.448753913695,162.86594753004007,165.08379400458486,5474800
2022-11-21,161.3312225341797,163.45548342396737,161.2095787656013,163.22153442709117,4702700
2022-11-22,165.84176635742188,165.9259845694672,161.28444445908502,163.61456733368772,4673500
2022-11-23,167.48876953125,168.23740921143045,165.16799937389345,165.63589738911696,3939100
2022-11-25,165.701416015625,167.77887014228816,165.66397617673607,167.74144458251396,1586400
2022-11-28,161.8927001953125,164.72816079628862,161.31251127259924,164.42871351586385,5358800
2022-11-29,161.87399291992188,163.1653960078356,160.3112152667074,162.49162172536882,3134000
2022-11-30,168.8737335205078,168.92051189197528,159.99302533511022,162.23892977181112,9780300
2022-12-01,166.10377502441406,168.9298826877697,164.8966045760602,168.48069036730604,5479900
2022-12-02,166.25352478027344,166.56233918118457,162.34188998117972,163.89531480547913,3822900
2022-12-05,166.00086975097656,167.1706148769852,164.0824848884993,165.39260799709817,4875300
2022-12-06,163.14666748046875,166.72141497265866,162.06114071831664,166.70269505493508,4417900
2022-12-07,162.5945281982422,163.79234573846722,161.19083442962426,161.45285612410402,3242800
2022-12-08,165.03695678710938,165.18668755019587,161.75231849190135,162.6038818638439,3902700
2022-12-09,163.07179260253906,165.24284600054966,162.94078174432207,164.6626570968904,3966700
2022-12-12,166.08505249023438,166.16928497343898,161.8084726483459,162.93142487358082,5347000
2022-12-13,166.10377502441406,171.33487076580158,164.57842311262036,170.4365146830993,6951000
2022-12-14,164.5316619873047,168.26547894343906,162.95951725910552,165.41129824575154,5114600
2022-12-15,159.0946807861328,163.31513009610325,158.23375013651565,162.38868686923092,6007300
2022-12-16,158.66419982910156,159.13209778537782,156.72709543614388,158.14950922137518,10423600
2022-12-19,156.84877014160156,158.96366398822863,155.38893064754802,158.73908208398282,4507000
2022-12-20,155.4263458251953,157.00784326450562,155.08010589319707,155.95975637038362,3777600
2022-12-21,157.8968505859375,158.06530128628023,155.81002956350892,156.27792755018612,3632100
2022-12-22,154.12559509277344,155.8287506308186,151.1216979924468,155.40764529552493,7188700
2022-12-23,153.82615661621094,154.21918923694096,151.8609792334466,152.56282625884612,2597000
2022-12-27,153.26466369628906,154.02265615164362,151.57087526561017,153.15237274856642,3535600
2022-12-28,150.8409423828125,154.5560532229495,150.50405528993244,153.1055667319627,2998600
2022-12-29,154.42506408691406,155.37956575171927,152.36631568716012,152.7780539438196,4081600
2022-12-30,154.61219787597656,154.77128146356483,151.79545739142193,153.18043130857015,3249000
2023-01-03,152.73126220703125,156.8861842013243,152.15105901231922,156.48379879963147,4294100
2023-01-04,158.30860900878906,158.79522693125134,154.68708302602633,154.68708302602633,6285300
2023-01-05,156.21241760253906,159.12274369973105,155.19240340143313,157.01720272430927,6876800
2023-01-06,163.9140167236328,164.8498126433442,156.6709511645862,158.72969933212872,6725900
2023-01-09,165.33641052246094,168.79886672893377,164.99953771096364,165.7762357318429,5733900
2023-01-10,166.9459991455078,168.08767139728604,164.54101087287287,165.28965052177702,4267700
2023-01-11,167.3858184814453,167.55426917906772,165.57037203779757,166.7775568202332,5013900
2023-01-12,166.69332885742188,169.53814212121236,165.6265220986114,168.18124091697894,4324900
2023-01-13,167.516845703125,167.61043101973345,164.90598100747798,165.70141336130615,3736700
2023-01-17,164.13861083984375,168.2748416788821,164.0450398083658,167.32032577147987,5659400
2023-01-18,162.60391235351562,165.9353582008642,162.44482874257343,165.04634055278407,5874300
2023-01-19,159.95558166503906,162.57581296439523,158.7296913564722,162.2482929764206,5995700
2023-01-20,161.8927001953125,162.44481638170822,158.85136334193234,161.36865674523432,7569900
2023-01-23,166.7307586669922,167.5261909169064,161.48094294325136,162.50095707710358,7847600
2023-01-24,165.6732940673828,167.05828223197568,164.08244394876252,165.4019195486694,5351600
2023-01-25,163.8017120361328,166.76819767688355,160.48900075239152,165.28963840543798,6720700
2023-01-26,162.9220733642578,164.0169528635935,160.76037282139714,164.0169528635935,6287900
2023-01-27,163.9888916015625,165.92598184233566,160.83524945982154,161.4528782295633,6074900
2023-01-30,163.16893005371094,165.1009713254032,162.30186419196278,162.42437483293656,5048900
2023-01-31,167.0142059326172,167.09902431950385,163.02756917847188,163.2066398047033,5852400
2023-02-01,171.62286376953125,173.1213795067396,166.59009028206796,166.81628703482272,7835800
2023-02-02,174.09210205078125,174.78009734016803,165.63819149647978,173.29100120442394,11667100
2023-02-03,171.80191040039062,174.58219319998958,171.14218788455466,171.23644012147648,5732200
